Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.26-23.57.4.133-33084-443-6,23.57.4.133,443,192.168.0.26,33084,6,26/02/2019 07:03:48 PM,13,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,2384615.384615385,230769.23076923078,6.5,0.7071067811865476,7.0,6.0,0,0,0,0,0,7.0,7.0,0.0,7.0,7.0,0,1,0,0,32,52,76923.07692307692,153846.15384615384,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
151.101.38.109-192.168.0.26-443-45718-6,151.101.38.109,443,192.168.0.26,45718,6,26/02/2019 07:03:48 PM,495,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,62626.26262626263,6060.606060606061,247.5,320.319371877506,474.0,21.0,0,0,0,0,0,21.0,21.0,0.0,21.0,21.0,0,1,0,0,32,52,2020.2020202020203,4040.4040404040406,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-104.89.26.121-41530-443-6,104.89.26.121,443,192.168.0.26,41530,6,26/02/2019 07:03:48 PM,15,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,2066666.6666666665,200000.0,7.5,0.7071067811865476,8.0,7.0,0,0,0,0,0,8.0,8.0,0.0,8.0,8.0,0,1,0,0,32,52,66666.66666666667,133333.33333333334,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-104.89.26.121-41536-443-6,104.89.26.121,443,192.168.0.26,41536,6,26/02/2019 07:03:48 PM,463,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,66954.64362850972,6479.481641468683,231.5,296.2777413171634,441.0,22.0,0,0,0,0,0,22.0,22.0,0.0,22.0,22.0,0,1,0,0,32,52,2159.8272138228945,4319.654427645789,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-104.89.26.121-41534-443-6,104.89.26.121,443,192.168.0.26,41534,6,26/02/2019 07:03:48 PM,113,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,274336.2831858407,26548.672566371682,56.5,71.4177848998413,107.0,6.0,0,0,0,0,0,6.0,6.0,0.0,6.0,6.0,0,1,0,0,32,52,8849.557522123894,17699.11504424779,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-104.89.26.121-41532-443-6,104.89.26.121,443,192.168.0.26,41532,6,26/02/2019 07:03:48 PM,579,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,53540.587219343695,5181.347150259067,289.5,375.47370081005676,555.0,24.0,0,0,0,0,0,24.0,24.0,0.0,24.0,24.0,0,1,0,0,32,52,1727.1157167530225,3454.231433506045,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-23.57.4.133-33060-443-6,192.168.0.26,33060,23.57.4.133,443,6,26/02/2019 07:03:48 PM,143266,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,216.38071838398503,27.920092694707744,47755.33333333333,82307.89707757898,142796.0,26.0,0,0,0,0,0,143266.0,71633.0,100639.67973915656,142796.0,470.0,0,0,0,0,20,96,6.980023173676936,20.94006952103081,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,0,0,1,0,0,0,3.0,7.75,0.0,10.333333333333334,0,0,0,0,0,0,1,0,3,31,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-74.125.68.188-35976-5228-6,192.168.0.26,35976,74.125.68.188,5228,6,26/02/2019 07:03:48 PM,320038,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.249257900624301,320038.0,0.0,320038.0,320038.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.1246289503121507,3.1246289503121507,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,673,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-74.125.68.188-35976-5228-6,192.168.0.26,35976,74.125.68.188,5228,6,26/02/2019 07:03:49 PM,1184005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6891820558190211,1184005.0,0.0,1184005.0,1184005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.8445910279095106,0.8445910279095106,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,673,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-74.125.68.188-35976-5228-6,192.168.0.26,35976,74.125.68.188,5228,6,26/02/2019 07:03:53 PM,4863999,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4111842950625607,4863999.0,0.0,4863999.0,4863999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.20559214753128036,0.20559214753128036,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,673,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-74.125.68.188-35976-5228-6,192.168.0.26,35976,74.125.68.188,5228,6,26/02/2019 07:04:07 PM,19200009,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416661783856454,1.9200009E7,0.0,1.9200009E7,1.9200009E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.05208330891928227,0.05208330891928227,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,673,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-34.208.125.160-34918-443-6,192.168.0.26,34918,34.208.125.160,443,6,26/02/2019 07:07:19 PM,10738261,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724997930298025,3579420.3333333335,5966208.765944277,1.0466823E7,34.0,1.0466823E7,1.0466823E7,0.0,1.0466823E7,1.0466823E7,271404.0,271404.0,0.0,271404.0,271404.0,0,0,0,0,64,80,0.18624989651490126,0.18624989651490126,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,26847,0,0,0,0,0,0,0,0,0,0,No Label
